Comment,Designator,Footprint,PartNumber
1uF,"C1, C2, C6, C8, C9, C14, C15, C16, C17, C20, C26, C70, C71, C72, C73, C88",cap0603,CC0603KRX7R9BB105
100nF,"C3, C4, C5, C7, C10, C11, C12, C13, C18, C19, C21, C24, C29, C30, C31, C34, C36, C37, C43, C45, C47, C49, C51, C53, C65, C67, C74, C75, C76, C77, C82, C84, C85, C86, C87, C90, C92, C93, C94, C96, C98, C100, C102, C103, C105, C106, C117, C119, C120, C123, C124, C125, C126, C127, C128, C141, C144, C145, C147",cap0603,CC0603KRX7R9BB104
2.2uF,"C22, C69, C95, C97, C107, C109, C114",cap0603,GCJ188R70J225KE01D
100pF,C23,cap0603,CC0603JRNPO9BN101
470pF,"C25, C32, C115",cap0603,CC0603JRNPO9BN471
39pF,C27,cap0603,CC0603JRNPO9BN390
24pF,C28,cap0603,CC0603JRNPO9BN240
10uF,"C33, C42, C44, C46, C48, C50, C52, C57, C58, C89, C91, C99, C101, C113",cap0603,CC0603MRX5R6BB106
8.2nF,"C35, C111, C112",cap0603,CC0603KRX7R9BB822
1nF,"C38, C39, C40, C41, C142, C143, C146",cap0603,CC0603JRNPO9BN102
100uF 16V,"C54, C55, C56, C59, C60, C61, C62, C63, C64, C108, C110",CAPAE_6.6x6.6h5.4,16V 100UF 6.3X5.8MM
4.7uF,"C66, C68, C104, C135, C136, C138",cap0603,CC0603KRX5R8BB475
51pF,C78,cap0603,CC0603JRNPO9BN510
82pF,C79,cap0603,CC0603JRNPO9BN820
62pF,"C80, C150",cap0603,CC0603JRNPO9BN620
30pF,C81,cap0603,CC0603JRNPO9BN300
10nF,C83,cap0603,CC0603JRNPO9BN103
18pF,"C121, C122",cap0603,CC0603JRNPO9BN180
22uF,"C129, C130, C131, C132, C133, C134, C137, C139, C140",cap0603,CC0603MRX5R6BB226
1nF,C148,CAPC3216X180N,CC1206JKNPOCBN102
220nF,C149,cap0603,CC0603JRX7R9BB224
47pF,C151,cap0603,CC0603JRNPO9BN470
ENCODER,"ENC1, ENC2",PEC12,EC12 Half Shaft (D-type) 12mm
BLM18,"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9, FB10, FB11, FB12",ind0603,BLM18KG221SN1D
CR1220,G1,CR1220,Holder CR1220
Solder_J,"J1, J2, J3, J4",Jumper,Solder_Jumper
47nH,"L1, L2",ind0603,LQW18AN47NG00D
10uH,L3,IND_4020,10uH 1.6A 4020
180nH,L4,NLV32T,NLV32T-R18J-EF
120nH,"L5, L6",NLV32T,NLV32T-R12J-EF
1uH,L7,ind0603,LQM18PN1R0MFRL
18uH,"L8, L9",NLV32T,NLV32T-180J-EF
150nH,"L10, L11",NLV32T,NLV32T-R15J-EF
47R,"R1, R2, R4, R5, R30, R31, R33, R35, R36, R37, R40",RES_NET0603x4,YC164-JR-0747RL
100R,"R3, R97",res0603,RC0603FR-07100RL
470R,"R6, R32, R94, R95, R98",res0603,RC0603FR-07470RL
47R,"R7, R41, R50",res0603,RC0603FR-0747RL
0R,"R8, R9, R10, R48",res0603,RC0603FR-070RL
130R,"R11, R12",res0603,RC0603FR-07130RL
47K,"R13, R49, R89, R93, R99",res0603,RC0603FR-0747KL
5K6,"R14, R69, R72",res0603,RC0603FR-075K6L
82R,"R15, R16",res0603,RC0603FR-0782RL
4K7,"R17, R18, R19, R20, R21, R24, R47, R51, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R88, R90, R91, R92",res0603,RC0603FR-074K7L
22K,"R22, R85",res0603,RC0603FR-0721KL
10K,"R23, R25, R26, R27, R28, R29, R75, R76, R79, R80, R82, R83, R86, R87",res0603,RC0603FR-0710KL
5R1,R34,res0603,RC0603FR-075R1L
2K,"R38, R39, R46, R53",res0603,RC0603FR-072KL
18R,R42,res0603,RC0603FR-0718RL
300R,"R43, R44",res0603,RC0603FR-07300RL
49R9,R45,res0603,RC0603FR-0749R9L
3K3,R52,res0603,RC0603FR-073K3L
100K,"R68, R84",res0603,RC0603FR-07100KL
5R6,"R70, R71",res0603,RT0603FRE075R6L
56R,R73,res0603,RT0603BRE0756RL
30K,R74,res0603,RT0603FRE0730KL
5K1,"R77, R78",res0603,RC0603FR-075K1L
12K,R81,res0603,RC0603FR-0712KL
1M,R96,res0603,RT0603FRE071ML
SMD key 6x6x5mm,"S1, S2, S3, S4, S5, S6, S7, S9, S10, S11, S12, S13, S14",TL9210AF180Q,TL9210AF180Q
SMD Key 6x6x5,S8,TL9210AF180Q,TL9210AF180Q
DS04-254-1-02BK-SMT,S15,DS04-254-1-02BK-SMT,DS04-254-1-02BK
P-52X37X7-G,"SH1, SH2",P-52X37X7-G,
TC4-1T+,"T1, T2",TC414,TC4-1T+
+3V3,"TP1, TP2, TP3, TP5, TP6, TP7",TP_1mm,
+5V,"TP4, TP9",TP_1mm,
+1V8,TP8,TP_1mm,
LTC2208,U1,64-QFN (9x9),LTC2208
LTC6400-14,U2,16-QFN 3x3,LTC6400-14
MC100LVELT22,U3,SOIC127P600X175-8N,MC100LVELT22
TCA8418,U4,QFN50P400X400X100-25N270,TCA8418RTWR
LDLN025M33R,"U5, U6, U7, U15",SOT23-5,LDLN025M33R
LP38501TS-ADJ,U8,TO170P1394X457-6,LP38501TS-ADJ
MicroPhase_XME0724-20I,U9,QFN127P5700X5700X150_HS-161N,MicroPhase_XME0724-20I
TPS61165DBV,U10,SOT95P280X110-6N,TPS61165DBV
DS3231,U11,SOIC127P1030X265-16N,DS3231SN
DAC904E,U12,SOP65P640X120-28L30N,DAC904E
GALI-74,U13,SOTFL4P150_409X160X50N,GALI-74
MCP4725A0T-E/CH,U14,SOT95P280X110-6N,MCP4725A0T-E/CH
TXS02612RTWR,U16,QFN50P400X400X100-25N270,TXS02612RTWR
ZDSD64GLGIAG,U17,LGA8,ZDSD64GLGIAG 6x8mm sdnand
XC6219B182MR,U18,SOT23-5,XC6219B182MR
NAU88C22YG,U19,QFN50P500X500X80-33N,NAU88C22YG
USB2514/USB2512,U20,QFN50P600X600X90-37T375,USB2514B
TPS2553DBV,U23,SOT95P280X110-6N,TPS2553DBV
ADS1015,U24,SOP50P490X110-10N,ADS1015IDGS
MCP6001UT,"U25, U26",SOT23-5,MCP6001UT-I/OT
MBR0560,VD1,SOD123,MBR0560
BAT54C,VD2,SOT23_132,BAT54C
