Altium Designer Pick and Place Locations
Pick Place for BRASS_SDR(V1.1).csv

========================================================================================================================
File Design Information:

Date:       21.10.24
Time:       15:10
Revision:   Not in VersionControl
Variant:    V1.0
Units used: mm

"Designator,""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Ref-X(mm)"",""Ref-Y(mm)"",""Pad-X(mm)"",""Pad-Y(mm)"",""Rotation"",""Layer"",""Comment"""
"C1,""cap0603"",""56.4750mm"",""93.8750mm"",""56.4750mm"",""93.8750mm"",""56.4750mm"",""94.6850mm"",""270"",""BottomLayer"",""1uF"""
"C2,""cap0603"",""57.6250mm"",""77.5750mm"",""57.6250mm"",""77.5750mm"",""57.6250mm"",""76.7650mm"",""90"",""BottomLayer"",""1uF"""
"C3,""cap0603"",""58.0500mm"",""93.8750mm"",""58.0500mm"",""93.8750mm"",""58.0500mm"",""94.6850mm"",""270"",""BottomLayer"",""100nF"""
"C4,""cap0603"",""59.2000mm"",""77.5750mm"",""59.2000mm"",""77.5750mm"",""59.2000mm"",""76.7650mm"",""90"",""BottomLayer"",""100nF"""
"C5,""cap0603"",""53.6500mm"",""84.2000mm"",""53.6500mm"",""84.2000mm"",""52.8400mm"",""84.2000mm"",""0"",""BottomLayer"",""100nF"""
"C6,""cap0603"",""53.6500mm"",""82.6250mm"",""53.6500mm"",""82.6250mm"",""52.8400mm"",""82.6250mm"",""0"",""BottomLayer"",""1uF"""
"C7,""cap0603"",""53.6500mm"",""89.2250mm"",""53.6500mm"",""89.2250mm"",""52.8400mm"",""89.2250mm"",""0"",""BottomLayer"",""100nF"""
"C8,""cap0603"",""53.6500mm"",""90.8000mm"",""53.6500mm"",""90.8000mm"",""52.8400mm"",""90.8000mm"",""0"",""BottomLayer"",""1uF"""
"C9,""cap0603"",""53.7250mm"",""79.1750mm"",""53.7250mm"",""79.1750mm"",""52.9150mm"",""79.1750mm"",""0"",""BottomLayer"",""1uF"""
"C10,""cap0603"",""53.7250mm"",""80.7500mm"",""53.7250mm"",""80.7500mm"",""52.9150mm"",""80.7500mm"",""0"",""BottomLayer"",""100nF"""
"C11,""cap0603"",""42.3250mm"",""90.7750mm"",""42.3250mm"",""90.7750mm"",""42.3250mm"",""91.5850mm"",""270"",""BottomLayer"",""100nF"""
"C12,""cap0603"",""37.6000mm"",""90.7750mm"",""37.6000mm"",""90.7750mm"",""37.6000mm"",""91.5850mm"",""270"",""BottomLayer"",""100nF"""
"C13,""cap0603"",""40.8000mm"",""80.6900mm"",""40.8000mm"",""80.6900mm"",""40.8000mm"",""79.8800mm"",""90"",""BottomLayer"",""100nF"""
"C14,""cap0603"",""39.1750mm"",""90.7750mm"",""39.1750mm"",""90.7750mm"",""39.1750mm"",""91.5850mm"",""270"",""BottomLayer"",""1uF"""
"C15,""cap0603"",""42.3750mm"",""80.6900mm"",""42.3750mm"",""80.6900mm"",""42.3750mm"",""79.8800mm"",""90"",""BottomLayer"",""1uF"""
"C16,""cap0603"",""43.9000mm"",""90.7750mm"",""43.9000mm"",""90.7750mm"",""43.9000mm"",""91.5850mm"",""270"",""BottomLayer"",""1uF"""
"C17,""cap0603"",""69.3000mm"",""78.8500mm"",""69.3000mm"",""78.8500mm"",""69.3000mm"",""78.0400mm"",""90"",""BottomLayer"",""1uF"""
"C18,""cap0603"",""65.5500mm"",""93.8750mm"",""65.5500mm"",""93.8750mm"",""65.5500mm"",""94.6850mm"",""270"",""BottomLayer"",""100nF"""
"C19,""cap0603"",""67.7250mm"",""78.8500mm"",""67.7250mm"",""78.8500mm"",""67.7250mm"",""78.0400mm"",""90"",""BottomLayer"",""100nF"""
"C20,""cap0603"",""67.1250mm"",""93.8750mm"",""67.1250mm"",""93.8750mm"",""67.1250mm"",""94.6850mm"",""270"",""BottomLayer"",""1uF"""
